,disease_type,sample_type,experimental_strategy,tissue_source_site_label,platform,data_submitting_center_label,portion_is_ffpe
0,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
1,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
2,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
3,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
4,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
5,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Washington University,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
6,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,UCSF,Illumina HiSeq,Baylor College of Medicine,NO
7,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Greenville Health System,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
8,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
9,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
10,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
11,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
12,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Cedars Sinai,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
13,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
14,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,UCSF,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
15,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
16,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
17,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
18,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
19,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
20,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,LS 454,Baylor College of Medicine,NO
21,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
22,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
23,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
24,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
25,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
26,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Duke,Illumina HiSeq,Baylor College of Medicine,NO
27,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
28,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
29,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
30,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
31,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
32,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
33,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
34,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
35,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
36,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
37,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
38,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
39,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
40,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
41,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
42,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
43,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
44,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Cedars Sinai,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
45,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
46,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
47,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
48,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
49,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
50,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Duke,Illumina HiSeq,Baylor College of Medicine,NO
